0 M,,1 M,,2 M,,3 M,,1,5 M,,1,25 M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
443.9299927,17.12191391,443.9299927,26.27705383,443.9299927,53.85629272,443.9299927,66.08518219,443.9299927,42.55318832,443.9299927,32.23806763,
445,15.14491177,445,26.924366,445,51.80221176,445,62.50383759,445,41.10860443,445,29.72315407,
446.0599976,15.01110935,446.0599976,25.14015007,446.0599976,50.48602676,446.0599976,62.4695282,446.0599976,40.87952805,446.0599976,29.94090652,
446.9599915,14.32771969,446.9599915,24.68281364,446.9599915,49.81894684,446.9599915,59.85443878,446.9599915,38.0861702,446.9599915,29.12316132,
448.0299988,14.41860485,448.0299988,25.76886177,448.0299988,47.54358292,448.0299988,55.70355988,448.0299988,37.58140564,448.0299988,27.68944359,
448.9299927,13.51499844,448.9299927,23.21630669,448.9299927,46.66666794,448.9299927,57.81320953,448.9299927,36.94844818,448.9299927,27.35237122,
450,13.15028095,450,23.56709671,450,45.35199738,450,53.97060394,450,35.19826889,450,24.07102776,

0 M,
0 M
Collection Time: 4/19/2018 9:59:39 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         450.00
Ex. Wavelength (nm)               295.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   730
Corrected spectra                 OFF
Multicell holder                  Multicell
Multi zero                       OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/19/2018 8:07:54 AM
Method Modifications:
Overlayed Graphs Changed: 4/19/2018 9:56:37 AM, Old:OFF, New:ON
Cell Changer Changed: 4/19/2018 9:56:37 AM, Old:OFF, New:ON
Cell2 Changed: 4/19/2018 9:56:37 AM, Old:OFF, New:ON
Monitoring device: Changed: 4/19/2018 9:56:37 AM, Old:PCB 150, New:Block
Excitation Wavelength Changed: 4/19/2018 9:56:37 AM, Old: 350.00, New: 295.00
Emission Wavelength Changed: 4/19/2018 9:56:37 AM, Old: 400.00, New: 300.00
Stop Wavelength Changed: 4/19/2018 9:56:37 AM, Old: 600.00, New: 450.00
Sample2 Changed: 4/19/2018 9:56:55 AM, Old:Sample2, New:0 M
